SOURCE_ID,YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,STATE/PROVINCE,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
3794,-50,,,,,1,2,,,40,BULGARIA,,BLACK SEA,43.5,28.5,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
22,-47,9,,,,0,1,,,84,CHINA,,"LAIZHOU BAY, BOHAI SEA",37.5,119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-23,,,,,0,3,,,50,EGYPT,,ALEXANDRIA,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
21,46,,,,,6,4,,6.2,50,GREECE,,THERA ISLAND (SANTORINI),36.404,25.396,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
23,62,,,,,1,2,,6.9,50,GREECE,,CRETE,35.2,25.1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
26,76,6,20,,,1,1,,6.3,50,CYPRUS,,LEVANTIAN SEA,34.8,32,,,,4,,,,,,,,,,,,,,,,,,,,,3,,,,3
3093,79,8,24,7,,4,3,,,50,ITALY,,BAY OF NAPLES,40.821,14.426,,,,4,,,,,,,,,,,,,,,,,,3500,4,,,,,,
4396,115,12,13,,,1,2,,7.5,50,TURKEY,,ANTAKYA (ANTIOCH),36.1,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,120,,,,,1,2,,7.2,50,TURKEY,,MARMARA SEA,40.77,29.92,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
3583,123,,,,,1,0,,6.3,84,SOUTH KOREA,,SEA OF JAPAN,35.8,129.2,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,2
27,142,,,,,1,3,,7,50,GREECE,,DODECANESE ISLANDS,36.7,28,,,,4,,,,,,,,,2,,,,2,,,,,,,,3,,,,3
29,173,6,28,,,1,2,,,84,CHINA,,"LAIZHOU BAY, BOHAI SEA",37.5,120,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3097,177,,,,,1,2,,,50,ITALY,,ISLAND OF SICILY,38,15,,,,6,,,,,,,,,2,,,,,,,,,,,,2,,,,
3427,258,,,,,1,0,,,50,ITALY,,TYRRHENIAN SEA,41.9,12.45,,,,4,,,,,,,,,,,,,,,,,,,,,3,,,1001,4
31,262,,,,,1,1,,,50,TURKEY,,SOUTH COASTS OF ASIA MINOR,36.6,30,,,,4,,,,,,,3,,,,,,,,,,,,3,,2,,,,3
32,315,,,,,1,1,,,50,DEAD SEA,,DEAD SEA,31.7,35.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
34,342,,,,,1,-1,,,50,CYPRUS ISLAND,,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,344,,,,,1,-1,,,50,TURKEY,,"MARMARA SEA, DARDANELLES",40.3,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,346,,,,,1,1,,6.8,50,ALBANIA,,ADRIATIC SEA,41.4,19.4,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,,,3
36,348,,,,,1,1,,4.1,50,TURKEY,,LEVANTIAN SEA,33.9,35.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
2314,358,8,24,,,1,1,,,50,TURKEY,,MARMARA SEA,40.77,29.9,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,3
37,362,5,24,,,1,2,,,50,JORDAN,,DEAD SEA,31.3,35.6,,,,3,,,,,,,,,3,,,,,,,,,,,,3,,,,
38,365,7,21,,,1,4,70,8,50,GREECE,,CRETE,35,23,,,,4,,,,,,5000,4,,4,,,,3,,,,,5000,4,,4,,,,3
3475,368,,,,,1,2,,6.4,50,TURKEY,,MARMARA SEA,40.5,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4273,382,,,,,1,1,,,73,PORTUGAL,,CABO SAN VICENTE,36,-10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2315,407,4,1,,,1,1,,6.6,50,TURKEY,,MARMARA SEA,41,29,,,,4,,,,,,,,,1,,,,,,,,,,,,1,,,,
39,416,,,,,6,2,,,60,INDONESIA,,JAVA-S. JAVA,-6.102,105.423,,,2,3.5,,,,,,,3,,4,,,,,,,,,,3,,4,,,,
40,426,,,,,1,-1,,,50,GREECE,,GULF OF EUBOEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,447,1,26,,,1,1,,7.3,50,TURKEY,,MARMARA SEA,40.9,28.5,,,,4,,,,,,,,,,,,,,,,,,,3,,3,,,,3
4294,450,1,26,,,1,1,,7,50,TURKEY,,MARMARA SEA,40.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,478,9,25,,,1,3,,,50,TURKEY,,MARMARA SEA,40.8,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,543,,,,,1,3,,6.8,50,TURKEY,,BLACK SEA,40.3,27.8,,,,4,,,,,,,3,,3,,,,,,,,,,3,,3,,,,
46,551,4,,,,3,4,,7.1,50,GREECE,,ETOLIA,38.4,22.3,,,,4,,,,,,,,,,,,,,,,,,4000,4,,,,,,
5586,551,7,7,,,,1,,,50,GREECE,,,38.4,22.3,,,,,,,,,,,,,,,,,,,,,,5000,4,,4,,,,4
47,551,7,9,,,1,4,,7.8,50,TURKEY,,LEVANTIAN SEA,40.8,29.9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3477,552,5,,,,1,3,,7.2,50,GREECE,,MALIAKOS GULF,38.4,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,554,8,15,,,1,3,,7,50,GREECE,,ISLAND OF KOS,36.5,27.5,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
3785,555,8,15,,,1,2,,,50,GREECE,,THRACE,41,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,557,,,,,1,3,,7,50,TURKEY,,MARMARA SEA,40.9,27.6,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
49,558,12,14,,,1,2,,7,50,TURKEY,,"MARMARA SEA, STRAIT OF BOSPORUS",40.9,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3765,558,,,,,1,4,,7,50,GREECE,,DODECANESE ISLANDS,37.1,27.7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
53,684,11,29,,,1,4,,8.4,85,JAPAN,,NANKAIDO,32.5,134,3,,1.6,1,,,,,,,3,,3,,,,,,,,,,3,,3,,,,
54,701,5,12,,,1,4,,7,85,JAPAN,,SEA OF JAPAN,35.7,135.4,,,2,1,,,,,,,,,3,,,,,,,,,,,,3,,,,
55,704,8,2,,,1,4,,7,85,JAPAN,,KUMANONADA,33.8,136.7,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
56,740,10,26,,,1,2,,7.3,50,TURKEY,,MARMARA SEA,40.7,29.3,,,,3,,,,,,,,,,,,,,,,,,,3,,3,,,,3
57,744,6,30,,,1,4,,6.4,85,JAPAN,,SW. KYUSHU ISLAND,32.4,130.5,,,2,2,,,,,,1520,4,,2,,,470,2,,,,,1520,4,,3,,,470,3
58,745,6,9,,,1,3,,6.5,85,JAPAN,,"OSAKA BAY, JAPAN",34.6,135.3,,,1,1,,,,,,,3,,,,,,,,,,,,3,,,,,,
59,746,1,18,,,1,2,,4.9,50,SYRIA,,SYRIAN and EGYPTIAN COASTS,32,35.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
5457,765,7,,,,6,-1,,,85,JAPAN,,KYUSHU ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,766,7,20,,,6,4,,6.5,85,JAPAN,,N. KAGOSHIMA BAY,31.6,130.7,,,1.5,1.5,,,,,,,3,,,,,,,,,,,,3,,,,,,
62,792,4,30,,,1,1,,,50,ITALY,,GULF OF VENICE,45.5,11,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
63,799,9,18,,,0,2,,,85,JAPAN,,"KASHIMA, JAPAN",,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3428,800,,,,,1,1,,,50,GREECE,,IONIAN SEA,36.2,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,803,12,19,,,1,2,,,50,TURKEY,,GULF OF ISKENDERUN,36.95,35.6,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,
66,818,8,,,,3,4,,7.9,85,JAPAN,,TOKAIDO,35.2,139.3,,,2,1,,,,,,,3,,,,,,,,,,,,3,,,,,,
67,842,10,24,,,1,1,,,73,UK,,"CHANNEL ISLANDS, ENGLAND",49.5,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
69,850,11,27,,,3,4,,7,85,JAPAN,,NW. HONSHU ISLAND,39,139.9,,,2,1,,,,,,,,,2,,,,,,,,,,3,,2,,,,
70,855,6,,,,0,-1,,,85,JAPAN,,NANKAIDO,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
71,859,,,,,1,2,,,50,TURKEY,,SAMANDAGI,36.08,36.25,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
72,863,7,10,,,3,4,,7,85,JAPAN,,NW. HONSHU ISLAND,37.1,138,,,2,2,,,,,,,,,,,,,,,,,,,3,,3,,,,3
74,869,7,13,,,1,4,,8.6,85,JAPAN,,SANRIKU,38.5,143.8,,,4,4,,,,,,1000,3,,3,,,,,,,,,,4,,4,,,,3
75,881,4,8,,,0,2,,,50,ISRAEL,,ISRAEL AND EGYPTIAN COASTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4282,881,6,10,,,1,0,,,73,SPAIN,,CADIZ,36,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,887,8,2,,,1,3,,6.5,85,JAPAN,,NIIGATA,37.5,138.1,,,2,1,,,,,,2000,4,,,,,,,,,,,2000,4,,,,,,
77,887,8,26,,,1,4,,8.6,85,JAPAN,,NANKAIDO,33,135.3,,,3,3,,,,,,,3,,3,,,,,,,,,,3,,3,,,,
5283,900,,,,,0,1,,,60,INDIA,,NAGAPATTINAM,10.46,79.53,,,,,,,,,,200,3,,3,,,,2,,,,,200,3,,3,,,,2
79,922,,,,,1,4,,7,85,JAPAN,,KUMANONADA,33.8,136.7,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
80,957,4,4,,,1,1,,,40,IRAN,,PERSIAN GULF OR CASPIAN SEA,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3429,963,7,22,,,1,3,,,50,ITALY,,SICILY,38,15,,,,5,,,,,,,4,,,,,,,,,,,,4,,,,,,
81,975,10,26,,,0,2,,,50,TURKEY,,"MARMARA SEA, STRAIT OF BOSPORUS",41.04,28.98,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3430,986,10,26,,,1,3,,7.5,50,TURKEY,,MARMARA SEA,40.8,29.2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
82,991,4,5,,,1,1,,,50,SYRIA,,SYRIAN COASTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3562,1008,4,11,,,1,2,,6.5,30,IRAN,,PERSIAN GULF,27.665,52.348,,,,,,,,,,,3,,1,,,,,,,,,16000,4,,4,,,,
83,1026,6,16,,,1,3,,7.5,85,JAPAN,,"OFF MASUDA, SHIMANE PREFECTURE",34.8,131.8,10,,3.3,3,,,,,,1001,4,,4,,,3000,4,,,,,1001,4,,3,,,3000,4
84,1033,12,5,,,1,4,,,50,SYRIA,,AKKO,33,35,,,,4,,,,,,,2,,,,,,,,,,,70000,4,,3,,,,3
87,1039,2,2,,,1,1,,6.8,50,TURKEY,,CONSTANTINOPLE,38.4,27.3,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,3
3102,1050,,,,,6,3,,,50,GREECE,,ISLAND OF THIRA,36.404,25.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,1065,9,23,,,1,3,,,50,TURKEY,,MARMARA SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1068,3,18,,,1,3,,,30,ISRAEL,,GULF OF AQABA,29.5,34.95,,,,4,,,,,,,3,,3,,,,,,,,,,3,,4,,,,4
91,1076,10,31,,,0,1,,,84,CHINA,,"GUANGDONG PROVINCE, SOUTH CHINA SEA",23,117,,,,1,,,,,,,1,,1,,,,1,,,,,,1,,1,,,,1
5500,1088,5,13,,,1,3,,,85,JAPAN,,"MIYAKO, IWATE PREFECTURE",39.64,141.96,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
93,1088,6,10,,,1,4,,7,85,JAPAN,,"MIYAKO, IWATE PREFECTURE",40.5,143,,,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
95,1092,9,13,,,9,-1,,,85,JAPAN,,"TERADOMARI, NIIGARA PREFECTURE",,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
96,1096,12,17,,,1,4,,8.4,85,JAPAN,,ENSHUNADA,34,137.5,7,,2.5,2,,,,,,,,,2,,,400,2,,,,,,,,2,,,400,3
2992,1099,2,22,,,1,4,,8.4,85,JAPAN,,NANKAIDO,33,135.5,,,2.5,,,,,,,,,,1,,,,,,,,,,,,1,,,,
97,1099,11,11,,,0,1,,,73,UK,,"WEST CORNWALL, ENGLAND",50.116,-5.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1106,3,,,,1,-1,,,50,ITALY,,MALAMOCCO,45.5,12.3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
4201,1112,6,20,,,0,2,,,50,ITALY,,CAMPANIA,40.85,14.25,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
3106,1114,3,12,,,1,-1,,7,50,ITALY,,CALABRIAN ARC,36.5,36,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
99,1134,10,1,,,0,1,,,73,NORTH SEA,,SOUTHERN NORTH SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2852,1169,2,4,7,,1,4,,7,50,ITALY,,EASTERN SICILY,37.3,15.03,,,,4,,,,,,,,,1,,,,,,,,,16000,4,,3,,,,3
3107,1169,2,11,,,6,3,,,50,ITALY,,CALABRIAN ARC,37.734,15.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,1172,,,,,1,3,,,50,ITALY,,ISLAND OF SICILY,38,15,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,
100,1202,5,20,,,3,4,,7.6,50,SYRIA,,SOUTHWESTERN SYRIA,33.5,36,,,,5,,,,,,,,,1,,,,,,,,,30000,4,,4,,,,4
101,1222,5,,,,1,3,,6.6,50,CYPRUS ISLAND,,CYPRUS,34.5,33,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
3478,1231,3,11,,,1,2,,6.9,50,TURKEY,,MARMARA SEA,41,28.6,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,1
104,1241,5,22,,,1,4,,7,85,JAPAN,,"KAMAKURA, SAGAMI BAY",35.2,139.4,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,
105,1257,10,9,,,1,4,,7.5,85,JAPAN,,OFF SANRIKU,39,144,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
106,1257,10,9,,,1,4,,7,85,JAPAN,,"SAGAMI BAY, JAPAN",35.2,139.5,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,
3109,1265,8,11,,,1,3,,6.6,50,TURKEY,,MARMARA SEA,40.7,27.4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3479,1270,3,,,,1,3,,,50,GREECE,,IONIAN SEA,41.3,19.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
108,1273,9,,,,1,2,,6.5,50,ALBANIA,,ALBANIAN COASTS,41.3,19.7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
110,1293,5,27,,,1,-1,,7.1,85,JAPAN,,"KAMAKURA, SAGAMI BAY",35.2,139.4,,,1,1,,,,,,,,,,,,,,,,,,23024,4,,3,,,,
111,1303,8,8,,,1,3,,8,50,GREECE,,AEGEAN SEA,34,26,,,,4,,,,,,,3,,3,,,,3,,,,,4000,4,,3,,,,3
3111,1321,,,,,1,2,,,50,ITALY,,GULF OF VENICE,45.4,12.3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3112,1329,6,28,,,4,2,,,50,ITALY,,ISLAND OF SICILY,37.734,15.004,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
114,1331,8,15,,,1,4,,7,85,JAPAN,,"OFF TANABE, WAKAYAMA PREFECTURE",33.7,135.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1332,2,12,,,1,2,,6.8,50,TURKEY,,CONSTANTINOPLE,40.9,28.9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
5556,1341,1,1,,,1,-1,,6,40,UKRAINE,,CRIMEA,44.3,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1341,10,31,,,1,3,,7,85,JAPAN,,"JUSANKO, TSUGARU AOMORI PREFECTURE",41,139.5,,,2.5,2.5,,,,,,2600,4,,,,,,,,,,,2600,4,,,,,,
3480,1343,10,18,19,,1,3,,7,50,TURKEY,,MARMARA SEA,41,28.1,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,
3481,1343,10,20,14,,1,2,,,50,TURKEY,,MARMARA SEA,41,28.1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
3113,1343,11,25,,,1,2,,,50,ITALY,,BAY OF NAPLES,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
3114,1344,10,14,,,1,4,,6.9,50,TURKEY,,"MARMARA SEA, STRAIT OF BOSPORUS",40.8,28.8,,,,5,,,,,,,3,,2,,,,2,,,,,,3,,3,,,,3
3115,1348,1,25,23,,1,2,,,50,ITALY,,GULF OF VENICE,46.6,13.8,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
122,1360,11,22,,,1,4,,7,85,JAPAN,,KUMANONADA,33.4,136.2,,,2.5,2,,,,,,,3,,,,,,,,,,,,3,,,,,,
124,1361,8,3,,,1,4,,8.4,85,JAPAN,,NANKAIDO,33,135,,,4,3,,,,,,660,3,,4,,,1700,4,,,,,660,3,,4,,,1700,4
3116,1365,1,2,,,1,3,,,50,ALGERIA,,ALGIERS,36.8,3,,,,,,,,,,,1,,,,,,,,,,,,3,,3,,,,3
126,1389,3,20,,,1,2,,6.8,50,GREECE,,"CHIOS ISLAND, AEGEAN ISLANDS",38.4,26.3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3117,1402,6,,,,1,2,,7,50,GREECE,,GULF OF CORINTH,38.11,22.41,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
3545,1402,,,,,1,2,,,50,SYRIA,,SYRIA,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1403,11,16,,,1,2,,,50,GREECE,,AEGEAN SEA - ASIA MINOR,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
128,1403,12,,,,1,4,,7,85,JAPAN,,KUMANONADA,33.7,136.5,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
129,1406,10,16,,,9,-1,,6.2,85,JAPAN,,"SHIZUOKA, JAPAN",34.4,138.4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
130,1407,8,23,,,0,1,,,84,NORTH KOREA,,"HAEJU COAST, YELLOW SEA",38,125.7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
131,1408,1,21,,,1,4,,7,85,JAPAN,,KUMANONADA,33.8,136.9,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3565,1408,12,20,,,1,2,,,50,TURKEY,,ANTIOCH,36.2,36.1,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,
2318,1419,5,25,,,1,3,,,50,TURKEY,,MARMARA SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1420,9,6,,,0,1,,,85,JAPAN,,KASHIMA,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
133,1433,11,7,,,1,4,,7.1,85,JAPAN,,OFF IZU-OSHIMA,34.9,139.5,2,,1,1,,,,,,,,,,,,,,,,,,,3,,3,,,,
135,1434,8,6,,,0,1,,,84,SOUTH KOREA,,"INCHON, CHEMULPO BAY, YELLOW SEA",37.5,126,,,,0.5,,,,,,,,,1,,,,,,,,,,,,1,,,,
3482,1437,11,28,,,1,1,,,50,GREECE,,AEGEAN SEA,40,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1448,9,19,,,1,3,,7,85,JAPAN,,"SADO, JAPAN",37.5,138.2,,,2,2,,,,,,,,,2,,,,,,,,,,,,2,,,,
3118,1456,12,4,20,,1,2,,,50,ITALY,,BAY OF NAPLES,41.3,14.7,,,,4,,,,,,,,,,,,,,,,,,30000,4,,4,,,,4
137,1481,5,3,,,1,2,,7.1,50,GREECE,,ISLAND OF RHODES,36,28,3,,,3,,,,,,,3,,3,,,,,,,,,,3,,3,,,,
5418,1481,10,3,,,1,2,,,50,GREECE,,ISLAND OF RHODES,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1489,,,,,1,2,,,50,TURKEY,,SOUTH COASTS OF ASIA MINOR,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3119,1494,7,1,,,1,3,,7.2,50,GREECE,,ISLAND OF CRETE,35.5,25.5,,,,2,,,,,,,,,1,,,,,,,,,,,,2,,,,2
142,1495,9,12,,,1,4,,7.1,85,JAPAN,,"KAMAKURA, SAGAMI BAY, TOKAIDO",35.1,139.5,5,,2,2,,,,,,200,3,,,,,,,,,,,200,3,,1,,,,1
144,1498,7,9,,,1,2,,6.4,85,JAPAN,,ENSHUNADA,34.4,137.7,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,
145,1498,8,2,,,1,2,,,74,VENEZUELA,,BOCA DE LA SIERPE,9.9,-62.3,,,,,,,,,,,3,,3,,,,3,,,,,,3,,3,,,,3
2993,1498,9,20,,,1,4,,7.5,85,JAPAN,,NANKAIDO,33.5,135.2,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,
