SOURCE_ID,WAVE_ID,YEAR,MONTH,DAY,REGION_CODE,COUNTRY,STATE/PROVINCE,LOCATION,LATITUDE,LONGITUDE,DISTANCE_FROM_SOURCE,TRAVEL_TIME_HOURS,TRAVEL_TIME_MINUTES,VALIDITY,MEASUREMENT_TYPE,PERIOD,FIRST_MOTION,MAXIMUM_HEIGHT,HORIZONTAL_INUNDATION,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE
11,8,-373,,,50,GREECE,,"HELICE, PELOPONNESUS",38.21,22.13,11,,,,1,,,,,,,,3,,3,,,,3
3092,17621,-227,,,50,GREECE,,ISLAND OF RHODES,36.167,28,31,,,,1,,,,,,,,,,1,,,,
5382,17622,-218,,,73,SPAIN,,CADIZ,36.533,-6.3,86,,,,1,,,,,,,,,,,,,,
4281,17623,-210,,,73,SPAIN,,CADIZ,36.533,-6.3,381,,,,1,,,,,,,,,,,,,,
15,19366,-138,,,50,LEBANON,,SIDON,33.5631,35.3689,,,,,1,,,,,,,,3,,,,,,
15,19367,-138,,,50,ISRAEL,,AKKO (ACRE),32.924,35.073,,,,,1,,,,,,,,3,,,,,,
15,19368,-138,,,50,LEBANON,,SUR [TYRE],33.2733,35.1939,,,,,1,,,,,,,,,,,,,,
3714,17631,-58,,,50,ALBANIA,,DURAZZO,41.323,19.441,6,,,,1,,,,,,,,,,,,,,
19,16093,-23,,,50,EGYPT,,PELUSIUM,31.133,32.667,,,,,1,,,,,,,,,,,,,,
19,16092,-23,,,50,EGYPT,,ALEXANDRIA,31.2,29.919,,,,,1,,,,,,,,,,,,,,
23,17632,62,,,50,GREECE,,LEBENA,34.931,24.929,34,,,,1,,,,,,,,,,,,,,
4396,16533,115,12,13,50,ISRAEL,,CAESAREA,32.483,34.883,418,,,,1,,,,,,,,,,,,,,
3583,25334,123,,,84,SOUTH KOREA,,KYONGJU,35.8428,129.2117,5,,,,1,,,,,,,,,,,,,,
27,10,142,,,50,GREECE,,ISLAND OF SYMI,36.58,27.83,20,,,,1,,,,,,,,,,2,,,,2
27,12,142,,,50,GREECE,,ISLAND OF SERIFOS,37.15,24.5,315,,,,1,,,,,,,,,,2,,,,2
27,11,142,,,50,GREECE,,ISLAND OF KOS,36.8933,27.2889,67,,,,1,,,,,,,,,,2,,,,2
27,9,142,,,50,GREECE,,ISLAND OF RHODES,36.167,28,59,,,,1,,,,,,,,,,2,,,,2
29,25331,173,6,28,84,CHINA,,"YEHSIAN, SHANDONG",37.1717,119.9214,37,,,,1,,,,,,,,,,,,,,
29,25330,173,6,28,84,CHINA,,"HUANGXIAN, SHANDONG",37.6481,120.5261,49,,,,1,,,,,,,,,,,,,,
29,25332,173,6,28,84,CHINA,,"CHANYI, SHANDONG",36.8536,119.3908,90,,,,1,,,,,,,,,,,,,,
3427,10864,258,,,50,ITALY,,ROME,41.9,12.45,0,,,,7,,,,,,,,,,,,,,
34,10865,342,7,,50,GREECE,,THRACE,41.3,19.5,,,,,1,,,,,,,,,,,,,,
3474,25838,346,,,50,ALBANIA,,DURRES (DYRRACHIUM),41.3231,19.4414,9,,,,1,,,,,,,,,,1,,,,1
36,10866,348,,,50,SYRIA,,ARWAD ISLAND,34.85,35.85,110,,,,1,,,,,,,,,,,,,,
36,10868,348,,,50,SYRIA,,SYRIAN COAST,,,,,,,1,,,,,,,,,,,,,,
36,10867,348,,,50,LEBANON,,BEIRUT,33.53,35.3,45,,,,1,,,,,,,,,,,,,,
2314,25832,358,8,24,50,TURKEY,,IZMIT (NICOMEDEA),40.77,29.94,3,,,?,1,,,,,,,,,,,,,,
38,19371,365,7,21,50,CROATIA,,EPIDAURUS,42.5811,18.2181,939,,,,1,,,,,,,,,,,,,,
38,10857,365,7,21,50,ITALY,REGIONE SICILIANA,ISLAND OF SICILY,38.18,15.56,752,,,,1,,,,,,,,,,,,,,
38,19370,365,7,21,50,SPAIN,,ADRA,36.7333,-3.0167,2346,,,,1,,,,,,,,,,,,,,
38,19369,365,7,21,73,PORTUGAL,,CAPE SOUTH VICENTE,37.025,-8.9944,2874,,,,1,,,,,,,,,,,,,,
38,17,365,7,21,50,GREECE,,"ACHAEA, PELOPONNESUS",38.25,21.75,378,,,,1,,,,,,,,,,2,,,,
38,16,365,7,21,50,GREECE,,"KNOSSOS, CRETE",35.3,25.167,200,,,,1,,,,,,,5000,4,,2,,,,
38,16148,365,7,21,50,EGYPT,,ALEXANDRIA,31.2,29.919,771,,,,1,,,,,,,,1,,1,,,,1
38,15,365,7,21,50,TURKEY,,ALEXANDRIA TROAS,40.154,26.407,647,,,?,1,,,,,,,700,3,,,,,,
38,10856,365,7,21,50,SPAIN,,MALAGA,36.717,-4.417,2470,,,,1,,,,,,,,3,,3,,,,
38,16091,365,7,21,50,GREECE,,"GORTIS, CRETE",35.325,25.1306,197,,,,1,,,,,,,,,,,,,,
38,18,365,7,21,50,GREECE,,"METHONI, PELOPONNESUS",36.818,21.703,234,,,,1,,,,,,,,,,1,,,,
3475,16215,368,,,50,TURKEY,,BITHYNIA,,,,,,,1,,,,,,,,,,,,,,
2315,10869,407,,,50,ITALY,,ISCHIA ISLAND,40.733,13.95,1265,,,,1,,,,,,,,,,,,,,
39,17552,416,,,60,INDIA,TAMIL NADU,POOMPUHAR,13.1144,80.2086,3511,,,,1,,,,,,,,,,3,,,,
39,19,416,,,60,INDONESIA,BANTEN,"BATUWARA MOUNTAIN, JAVA",-6.342,105.94,63,,,,1,,,,,,,,,,,,,,
39,25336,416,,,60,INDONESIA,WEST JAVA,"GEDE MOUNTAIN, JAVA",-6.78,106.8,170,,,,1,,,,,,,,,,,,,,
39,20,416,,,60,INDONESIA,LAMPUNG,"MOUNT RAJABASA, SUMATRA I.",-5.8368,105.6513,39,,,,1,,,,,,,,3,,,,,,
41,10870,447,11,8,50,TURKEY,,ISTANBUL (CONSTANTINOPLE),41.019,28.965,41,,,,1,,,,,,,,,,,,,,
43,25,543,,,40,BULGARIA,,DIONISIOUPOLIS [BALCHIK],43.4167,28.1667,348,,,,1,,,,,,,,3,,3,,,,
43,26,543,,,50,CYPRUS,,APHRODISIO,35.4041667,33.7416667,754,,,,1,,,,,,,,3,,3,,,,
43,27,543,,,50,TURKEY,,GULF OF EDREMIT,39.583333,26.95,108,,,,1,,,,,,,,,,,,,,
43,24,543,,,40,BULGARIA,,ODESSOS [VARNA],43.2167,27.9167,325,,,,1,,,,,,,,3,,3,,,,
46,31,551,7,7,50,GREECE,,MALIACUS GULF,,,,,,,1,,,,,,,,,,,,,,
47,10871,551,7,9,50,TURKEY,,LEVANTIAN SEA,,,,,,,1,,,,,,,,,,,,,,
46,29,551,,,50,GREECE,,"TARPHE, MALIAKOS GULF",36.83,27.17,463,,,,1,,,,,,,,,,,,,,
46,30,551,,,50,GREECE,,"SKARPHIA, MALIAKOS GULF",36.83,27.17,463,,,,1,,,,,,,,,,,,,,
46,28,551,,,50,GREECE,,"ECHINOS, MALIAKOS GULF",36.83,27.17,463,,,,1,,,,,,,,,,,,,,
48,10872,554,,,50,GREECE,,SOUTHERN SPORADES,,,,,,,1,,,,,,,,,,,,,,
48,33,554,,,50,GREECE,,ISLAND OF KOS,36.8933,27.2889,48,,,,1,,,,,,,,,,,,,,
48,32,554,,,50,TURKEY,,GULF OF ANTALYA,,,,,,,1,,,,,,,,,,,,,,
53,35,684,11,29,85,JAPAN,KOCHI,TOSA,33.51,133.44,124,,,,1,,,,,,,,,,,,,,
53,34,684,11,29,85,JAPAN,MIE,ATASHIKA,33.917,136.15,255,,,,1,,,3,,,,,,,,,,,
54,36,701,5,12,85,JAPAN,KYOTO,"TANGO, KYOTO",35.87,135.08,35,,,,1,,,,,,,,,,,,,,
55,37,704,8,2,85,JAPAN,,KUMAMONADA,,,,,,,1,,,,,,,,,,,,,,
56,10873,740,10,26,50,TURKEY,,IZMIT,40.77,29.94,54,,,,1,,,,,,,,,,,,,,
56,38,740,10,26,50,TURKEY,,THRACIAN COAST,41,29,42,,,,1,,,,,,,,,,,,,,
57,39,744,6,30,85,JAPAN,KUMAMOTO,KUMAMOTO,32.83,130.7,51,,,,1,,,,,,,1520,4,,3,,,470,3
58,40,745,6,9,85,JAPAN,OSAKA,OSAKA BAY,34.5,135.33,11,,,,1,,,,,,,,3,,,,,,
59,10875,746,1,18,50,EGYPT,,COAST,,,,,,,1,,,,,,,,,,,,,,
59,10874,746,1,18,50,LEBANON,,,,,,,,,1,,,,,,,,,,,,,,
61,41,766,7,20,85,JAPAN,KAGOSHIMA,OSUMI ISLAND,30,130,190,,,,1,,,,,,,,3,,,,,,
62,10876,792,4,30,50,ITALY,,GULF OF VENICE,45.5,12.5,117,,,,1,,,,,,,,,,,,,,
63,42,799,9,18,85,JAPAN,IBARAKI,HITACHI,36.58,140.67,,,,,1,,,2,,,,,,,,,,,
63,28198,799,9,18,85,JAPAN,IBARAKI,NAKAMINATO,36.333,140.59,,,,,1,,,,,,,,,,,,,,
63,28199,799,9,18,85,JAPAN,IBARAKI,KUJI,40.1878,141.7689,,,,,1,,,,,,,,,,,,,,
63,28200,799,9,18,85,JAPAN,IBARAKI,KASHIMA,35.933,140.69,,,,,1,,,,,,,,,,,,,,
66,43,818,8,,85,JAPAN,CHIBA,BOSO PENINSULA,34.9,139.85,60,,,,1,,,,,,,,3,,,,,,
67,16348,842,10,24,73,FRANCE,,NORTHERN FRANCE,,,,,,,1,,,,,,,,,,,,,,
67,16349,842,10,24,73,UK,,"CHANNEL ISLANDS, ENGLAND",49.333,-2.317,23,,,,1,,,,,,,,,,,,,,
69,44,850,11,27,85,JAPAN,AKITA,KISAGATA,39.2167,139.9,24,,,,1,,,,4000,,,,,,2,,,,
70,10213,855,6,,85,JAPAN,KAGOSHIMA,KUMANO,30.68,130.967,,,,,1,,,,,,,,,,,,,,
71,10877,859,,,50,TURKEY,,SAMANDAGI,36.08,36.25,0,,,,1,,,,,,,,,,,,,,
72,10214,863,7,10,85,JAPAN,NIIGATA,NAOETSUKO,37.1,138,0,,,,1,,,,,,,,,,,,,,
74,48,869,7,13,85,JAPAN,IWATE,RIKUCHU,39.74,142,208,,,,1,,,,,,,,,,,,,,
74,47,869,7,13,85,JAPAN,MIYAGI,SHIOGAMA,38.3,141,245,,,,1,,,,,,,,,,1,,,,
74,19400,869,7,13,85,JAPAN,WAKAYAMA,IWASHIRO,33.783,135.283,927,,,,1,,,,,,,,,,,,,,
74,45,869,7,13,85,JAPAN,FUKUSHIMA,IWAKI,37.07,140.9,300,,,,1,,,,,,,,,,,,,,
74,46,869,7,13,85,JAPAN,MIYAGI,SENDAI,38.267,141.033,243,,,,1,,,,,,,1000,3,,3,,,,3
75,10858,881,4,8,50,ISRAEL,,AKKO (ACRE),32.924,35.073,,,,,1,,,,,,,,,,,,,,
75,16082,881,4,8,50,EGYPT,,ALEXANDRIA,31.2,29.919,,,,,1,,,,,,,,,,,,,,
76,49,887,8,2,85,JAPAN,NIIGATA,S. COAST NIIGATA PREFECTURE,37.92,139.05,96,,,,1,,,4,,,,2000,4,,,,,,
77,51,887,8,26,85,JAPAN,OSAKA,OSAKA BAY,34.5,135.33,167,,,,1,,,,,,,,2,,2,,,,
77,50,887,8,26,85,JAPAN,KANAGAWA,HIYUGA,35.3,139.65,475,,,,1,,,,,,,,,,2,,,,
5283,17553,900,,,60,INDIA,TAMIL NADU,"NAGAPATTINUM, TAMIL NADU",10.767,79.833,48,,,,1,,,,,,,200,3,,3,,,,2
79,10224,922,,,85,JAPAN,MIE,KUMAMONADA,33.8,136.7,0,,,,1,,,2,,,,,,,,,,,
3429,10878,963,7,22,50,ITALY,REGIONE SICILIANA,ISLAND OF SICILY,38,15,0,,,,1,,,,,,,,4,,,,,,
81,10879,975,10,26,50,TURKEY,,"MARMARA SEA, STRAIT OF BOSPORUS",41.04,28.98,0,,,,1,,,,,,,,,,,,,,
3562,19372,1008,4,11,30,IRAN,,SIRAF,27.66666,52.3425,1,,,,1,,,,,,,,3,,1,,,,
83,52,1026,6,16,85,JAPAN,SHIMANE,IWAMI COAST,34.88,132.43,58,,,,1,,,10,,,,1000,3,,,,,,
83,19401,1026,6,16,85,JAPAN,YAMAGUCHI,SUSA,34.6167,131.6,27,,,,1,,,10,,,,,,,,,,,
84,25678,1033,12,2,50,ISRAEL,,CAESAREA PHILIPPI,32.483,34.883,59,,,,1,,,,,,,,,,,,,,
84,10887,1033,12,5,50,ISRAEL,,AKKO (ACRE),32.924,35.073,11,,,,1,,,,,,,,2,,,,,,
84,10885,1033,12,5,50,ISRAEL,,GAZA,31.52,34.43,173,,,,1,,,,,,,,,,,,,,
84,10886,1033,12,5,50,ISRAEL,,ASHKELON,31.667,34.55,154,,,,1,,,,,,,,,,,,,,
84,25679,1033,12,5,50,LEBANON,,LEBANON COAST,33.8,35.8,116,,,,1,,,,,,,,,,,,,,
87,10889,1039,2,2,50,TURKEY,,ISTANBUL (CONSTANTINOPLE),41.019,28.965,324,,,,1,,,,,,,,,,,,,,
3102,10890,1050,,,50,GREECE,,ISLAND OF THIRA,,,,,,,1,,,,,,,,,,,,,,
3103,10891,1065,9,23,50,TURKEY,,NICOLIDEA,,,,,,,1,,,,,,,,,,,,,,
3103,10892,1065,9,23,50,TURKEY,,"PRINCES ISLANDS, MARMARA SEA",40.87,29.12,,,,,1,,,,,,,,,,,,,,
3103,10893,1065,9,23,50,TURKEY,,ISTANBUL (CONSTANTINOPLE),41.019,28.965,,,,,1,,,,,,,,,,,,,,
90,10895,1068,3,18,50,ISRAEL,,YAVNE,31.817,34.717,259,,,,1,,,,,,,,3,,3,,,,
90,10894,1068,3,18,50,ISRAEL,,ASHDOD,31.817,34.65,259,,,,1,,,,,,,,3,,3,,,,
90,56,1068,3,18,50,ISRAEL,,HOLON,32.011,34.772,280,,,,1,,,,,,,,3,,3,,,,
91,19374,1076,10,31,84,CHINA,,"CHAOANG, KWANGTUNG",,,,,,,1,,,,,,,,1,,1,,,,1
93,10225,1088,6,10,85,JAPAN,IWATE,SANRIKU COAST,39.33,142,156,,,,1,,,2,,,,,,,,,,,
96,16504,1096,12,17,85,JAPAN,,SURUGA BAY,34.7,138.2,101,,,,1,,,,,,,,,,3,400,3,,
96,57,1096,12,17,85,JAPAN,YAMAGATA,ATSUMI,34.62,137.11,78,,,,1,,,7,,,,,,,,,,,
96,60,1096,12,17,85,JAPAN,MIE,TSU,34.717,136.517,120,,,,1,,,5,,,,,,,,,,,
96,59,1096,12,17,85,JAPAN,SHIZUOKA,SHIZUOKA,34.98,138.4,137,,,,1,,,,,,,,,,,,,,
96,58,1096,12,17,85,JAPAN,MIE,MIE,34.69,136.54,117,,,,1,,,,,,,,,,,,,,
2992,10374,1099,2,22,85,JAPAN,WAKAYAMA,NANKAIDO COAST,33,135.5,0,,,,1,,,,,,,,,,,,,,
97,61,1099,11,11,73,UK,,"SAINT MICHAEL'S MOUNT, ENGLAND",50.116,-5.483,0,,,,1,,,,,,,,,,,,,,
98,10896,1106,3,,50,ITALY,,MALAMOCCO,45.373,12.344,15,,,,1,,,,,,,,,,,,,,
4201,25831,1112,6,20,50,ITALY,CAMPANIA,NAPLES,40.83,14.25,2,,,,1,,,,,,,,,,,,,,
2852,10898,1169,2,4,50,ITALY,SICILY,"MESSINA, SICILY",38.18,15.562,108,,,,1,,,,,,,,,,,,,,
3107,10899,1169,2,11,50,ITALY,,CALABRIAN ARC,,,,,,,1,,,,,,,,,,,,,,
3108,10900,1172,,,50,ITALY,REGIONE SICILIANA,ISLAND OF SICILY,38,15,0,,,,1,,,,,,,,3,,,,,,
100,15703,1202,5,20,50,CYPRUS,,PAPHOS,34.75,32.42,358,,,,1,,,,,,,,,,1,,,,
100,16090,1202,5,20,50,EGYPT,,COAST,31.2,29.919,626,,,,1,,,,,,,,,,,,,,
100,62,1202,5,20,50,CYPRUS,,LIMASSOL,34.67,33.03,303,,,,1,,,,,,,,,,,,,,
101,64,1222,5,,50,CYPRUS,,PAPHOS,34.75,32.42,60,,,,1,,,,,,,,,,,,,,
101,63,1222,5,,50,CYPRUS,,LIMASSOL,34.67,33.03,19,,,,1,,,,,,,,,,,,,,
3478,25837,1231,3,11,50,TURKEY,,ISTANBUL (CONSTANTINOPLE),41.019,28.965,31,,,,1,,,,,,,,,,,,,,
104,19470,1241,5,22,85,JAPAN,KANAGAWA,YUIGAHAMA,35.283,139.567,18,,,,1,,,,,,,,,,1,,,,
104,65,1241,5,22,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55,18,,,,1,,,,,,,,,,,,,,
106,10376,1257,10,9,85,JAPAN,KANAGAWA,SAGAMI BAY,35.2,139.5,0,,,,1,,,,,,,,,,,,,,
105,10375,1257,10,9,85,JAPAN,IWATE,SANRIKU COAST,39,141.7,199,,,,1,,,,,,,,,,,,,,
106,28202,1257,10,9,85,JAPAN,IWATE,KUJI,40.195,141.79,591,,,,1,,,,,,,,,,,,,,
106,28201,1257,10,9,85,JAPAN,IWATE,NODA,40.11,141.82,583,,,,1,,,,,,,,,,,,,,
3109,10901,1265,8,11,50,TURKEY,,ISLAND OF PROCONNESUS (MARMARA IS),40.633,27.617,20,,,,1,,,,,,,,,,,,,,
108,10902,1273,3,,50,ALBANIA,,DURRES,41.3231,19.4414,22,,,,1,,,,,,,,,,,,,,
110,10377,1293,5,27,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55,18,,,,1,,,,,,,,,,,,,,
111,67,1303,8,8,50,GREECE,,"HERAKLION (IRAKLION), CRETE",35.339,25.18,167,,,,1,,,,,,,,,,1,,,,
111,16094,1303,8,8,50,EGYPT,,EGYPT COAST,,,,,,,1,,,,,,,,,,,,,,
111,10904,1303,8,8,50,ISRAEL,,AKKO (ACRE),32.924,35.073,850,,,,1,,,,,,,,2,,,,,,
111,10905,1303,8,8,50,SYRIA,,SYRIA COAST,,,,,,,1,,,,,,,,,,,,,,
111,15732,1303,8,8,50,GREECE,,PELOPENNESUS,,,,,,,1,,,,,,,,,,,,,,
111,10903,1303,8,8,50,GREECE,,"CANDIA, CRETE",35.333,25.133,168,,,,1,,,,,,,,3,,3,,,,
111,10909,1303,8,8,50,GREECE,,ISLAND OF RHODES,36.167,28,302,,,,1,,,,,,,,,,,,,,
111,66,1303,8,8,50,EGYPT,,ALEXANDRIA,31.2,29.919,481,,,,1,,,,,,,70,2,,1,,,,
111,10906,1303,8,8,50,LEBANON,,LEBANON COAST,,,,,,,1,,,,,,,,,,,,,,
3111,10910,1321,,,50,ITALY,VENETO,VENICE,45.439,12.327,5,,,,1,,,,,,,,,,,,,,
3112,10911,1329,6,28,50,ITALY,REGIONE SICILIANA,ISLAND OF SICILY,38,15,30,,,,1,,,,,,,,,,,,,,
115,10912,1332,2,12,50,TURKEY,,ISTANBUL (CONSTANTINOPLE),41.019,28.965,14,,,,1,,,,,,,,,,,,,,
116,69,1341,10,31,85,JAPAN,AOMORI,JUSAN-MINATO,41.033,140.333,70,,,,1,,,,,,,2600,4,,,,,,
3113,10914,1343,11,25,50,ITALY,CAMPANIA,BAY OF NAPLES,40.83,14.25,,,,,1,,,,,,,,,,,,,,
3114,10915,1344,2,12,50,TURKEY,,"MARMARA SEA, STRAIT OF BOSPORUS",41.03,29,31,,,,1,,,,,,,,3,,2,,,,2
3114,70,1344,10,14,50,TURKEY,,ISTANBUL (CONSTANTINOPLE),41.03,29,31,,,,1,,,,,,,,3,,2,,,,2
3115,10916,1348,1,25,50,ITALY,,GULF OF VENICE,45.5,12.5,158,,,,1,,,,,,,,,,,,,,
122,71,1360,11,2,85,JAPAN,OSAKA,OSAKA BAY,34.667,135.433,158,,,,1,,,,,,,,3,,,,,,
122,28203,1360,11,22,85,JAPAN,,WAKAYAMA,34.2,135.2,128,,,,1,,,,,,,,,,,,,,
122,19402,1360,11,22,85,JAPAN,,OWASE,34.083,136.2,76,,,,1,,,,,,,,3,,,,,,
124,19471,1361,8,3,85,JAPAN,OSAKA,SETTSU,34.7782,135.5951,205,,,,1,,,,,,,,,,,,,,
124,73,1361,8,3,85,JAPAN,OSAKA,"NAMBAURA, OSAKA",34.7,135.5,195,,,,1,,,,,,,600,3,,,,,,
124,72,1361,8,3,85,JAPAN,TOKUSHIMA,AWA,34.06,134.6,124,,,,1,,,,,,,60,2,,,,,,
124,75,1361,8,3,85,JAPAN,TOKUSHIMA,"NARUTO, TOKUSHIMA",34.183,134.617,136,,,,1,,,,,,,,,,,,,,
124,76,1361,8,3,85,JAPAN,TOKUSHIMA,"YUKI PORT, TOKUSHIMA",33.767,134.6,93,,,,1,,,,,,,200,3,,4,,,1700,4
124,74,1361,8,3,85,JAPAN,OSAKA,"NANIWA, OSAKA",34.65,135.5,189,,,,1,,,,,,,200,3,,2,,,,
3116,10917,1365,1,2,50,ALGERIA,,ALGIERS,36.763,3.051,6,,,,1,,,,,,,,1,,,,,,
126,77,1389,3,20,50,GREECE,,CHIOS,38.368,26.136,15,,,,1,,,,,,,,,,,,,,
3117,10918,1402,6,,50,GREECE,,GULF OF CORINTH,38.35,22.25,30,,,,1,,,,,,,,,,,,,,
127,10919,1403,11,16,50,,,SYRIA - PALESTINE,,,,,,,1,,,,,,,,,,,,,,
128,10378,1403,12,,85,JAPAN,KANAGAWA,KAMAKURA,35.31,139.54,331,,,,1,,,,,,,,,,,,,,
128,28204,1403,12,,85,JAPAN,WAKAYAMA,SOUTH COAST OF KII PENINSULA,33.5,135.8,69,,,,1,,,,,,,,,,,,,,
130,25335,1407,8,23,84,NORTH KOREA,,HAEJU,38.0406,125.7147,5,,,,1,,,,,,,,,,,,,,
131,10379,1408,1,21,85,JAPAN,KANAGAWA,KAMAKURA,35.31,139.54,294,,,,1,,,,,,,,,,,,,,
131,28205,1408,1,21,85,JAPAN,WAKAYAMA,SOUTH COAST OF KII PENINSULA,33.5,135.8,107,,,,1,,,,,,,,,,,,,,
3565,15731,1408,12,20,50,SYRIA,,LATAKIA,35.517,35.783,81,,,,1,,,,,,,,,,,,,,
132,78,1420,9,6,85,JAPAN,OSAKA,IBARAKI,34.81,135.57,,,,,1,,,,,,,,,,,,,,
133,10380,1433,11,7,85,JAPAN,KANTO,TONE RIVER,35.75,140.8,151,,,,1,,,,,,,,,,,,,,
135,25333,1434,8,6,84,SOUTH KOREA,,INCHON,37.4536,126.7317,65,,,,1,,,,,,,,,,1,,,,
136,79,1448,9,19,85,JAPAN,TOYAMA,TOYAMA BAY-NIIGATA,36.7,137.23,124,,,,1,,,,,,,,,,,,,,
3118,10920,1456,12,4,50,ITALY,CAMPANIA,BAY OF NAPLES,40.83,14.25,64,,,,1,,,,,,,,,,,,,,
137,80,1481,5,3,50,GREECE,,ISLAND OF RHODES,36.2,28,22,,,,1,,,3,,,,,3,,3,,,,
5418,19375,1481,12,18,50,GREECE,,ISLAND OF RHODES,36.2,28,22,,,,1,,,,,,,,,,,,,,
3119,10921,1494,7,1,50,GREECE,,"HERACLION [CANDIA], ISLAND OF CRETE",35.333,25.133,38,,,,1,,,,,,,,,,1,,,,
142,82,1495,9,12,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55,24,,,,1,,,5,,,,,,,,,,,
142,19403,1495,9,12,85,JAPAN,KANAGAWA,YUIGAHAMA,35.283,139.567,21,,,,1,,,,,,,200,3,,,,,,
144,19407,1498,7,9,85,JAPAN,,KII PENINSULA,,,,,,,1,,,,,,,,,,,,,,
144,19406,1498,7,9,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55,197,,,,1,,,,,,,,,,,,,,
144,19405,1498,7,9,85,JAPAN,MIE,ISE,34.48,136.71,91,,,,1,,,,,,,,,,,,,,
145,6681,1498,8,2,74,VENEZUELA,,PEDERNALES,9.967,-62.267,8,,,,1,,,,,,,,3,,3,,,,3
2993,10409,1498,9,20,85,JAPAN,WAKAYAMA,MINATO,34.0903,135.09,66,,,,1,,,,,,,,,,1,,,,
146,19404,1498,9,20,85,JAPAN,SHIZUOKA,NISHINA COUNTY,34.7667,138.7667,105,,,,1,,,,2000,,,,,,,,,,
146,85,1498,9,20,85,JAPAN,MIE,OMINATO (ISE),34.517,136.75,137,,,,1,,,10,,,,5000,4,,4,,,1000,3
146,7062,1498,9,20,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55,197,,,,1,,,,,,,200,3,,,,,,
146,86,1498,9,20,85,JAPAN,SHIZUOKA,YAIZU,34.867,138.333,99,,,,1,,,,,,,26000,4,,,,,,
146,87,1498,9,20,85,JAPAN,SHIZUOKA,LAKE HAMANA,34.683,137.6,89,,,,1,,,,,,,,,,,,,,
146,84,1498,9,20,85,JAPAN,TOKYO,"YAENE, HACHIJO ISLAND",33.1,139.767,184,,,,1,,,,,,,1,1,,,,,,
147,88,1500,,,80,USA,HI,"KALAELOA, MOLOKAI, HI",21.05,-156.85,,,,,1,,,,,,,,3,,,,,,
149,10922,1508,5,29,50,GREECE,,ISLAND OF CRETE,,,,,,,1,,,,,,,,,,,,,,
151,16350,1509,6,17,84,CHINA,,NANXIANG,31.2947,121.2983,30,,,,1,,,,,,,,,,,,,,
151,16351,1509,6,17,84,CHINA,,WUSONG,31.3683,121.4928,15,,,,1,,,,,,,,,,,,,,
151,16352,1509,6,17,84,TAIWAN,,CHIATUNG,24.33,120.567,803,,,,1,,,,,,,,,,,,,,
